Date,Close,High,Low,Open,Last_Close,Delta,Delta_Pct,Count,Value,,,,,,,
6/1/2018,3075.1372,3102.088,3059.7857,3084.7536,3095.4737,-20.3365,-0.657,129872199,1.67E+11,,,,,,,
5/31/2018,3095.4737,3098.0764,3054.2685,3061.8291,3041.4434,54.0303,1.7765,140475532,1.85E+11,,,,,,,
5/30/2018,3041.4434,3085.397,3041.0002,3081.1418,3120.4605,-79.0171,-2.5322,155115126,1.92E+11,,,,,,,
5/29/2018,3120.4605,3143.2076,3112.1531,3129.621,3135.0821,-14.6216,-0.4664,135717800,1.78E+11,,,3140.103687,3115.911617,,,
5/28/2018,3135.0821,3149.6646,3115.9585,3136.8092,3141.3032,-6.2211,-0.198,128755918,1.68E+11,,,3127.916172,3103.908246,,,
5/25/2018,3141.3032,3156.7261,3131.0675,3148.41,3154.6506,-13.3474,-0.4231,128610843,1.67E+11,,,3116.696236,3092.872453,,,
5/24/2018,3154.6506,3173.5309,3152.0692,3167.9391,3168.9642,-14.3136,-0.4517,124085800,1.61E+11,,,3106.719906,3083.080268,,,
5/23/2018,3168.9642,3205.437,3168.9642,3205.437,3214.3497,-45.3855,-1.412,157807648,1.99E+11,,,3091.341612,3067.886117,,,
5/22/2018,3214.3497,3214.5888,3192.2277,3211.247,3213.8404,0.5093,0.0158,144292684,1.86E+11,,,,,4/26/2018,3121.9334,3067.9286
5/21/2018,3213.8404,3219.7398,3203.3362,3206.1756,3193.3034,20.537,0.6431,164459413,2.03E+11,,,,,4/27/2018,3088.0347,3049.9139
5/18/2018,3193.3034,3193.4531,3144.776,3151.0818,3154.2825,39.0209,1.2371,136516918,1.68E+11,,,,,5/2/2018,3097.6039,3064.763
5/17/2018,3154.2825,3172.7664,3148.6213,3170.0064,3169.5652,-15.2827,-0.4822,113995567,1.51E+11,,,,,5/3/2018,3105.6598,3056.1573
5/16/2018,3169.5652,3191.9481,3166.8113,3180.2259,3192.1183,-22.5531,-0.7065,130524968,1.75E+11,,,,,5/4/2018,3104.0925,3086.7845
